series_id,entity_id,observed_at,captured_at,metric,value,unit,source_id,raw_ref,parser_version
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:47:11Z,2026-09-02T16:47:11Z,products_discontinued,401,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:47:11Z,2026-09-02T16:47:11Z,products_ever,536,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:47:11Z,2026-09-02T16:47:11Z,products_marketed,135,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:47:11Z,2026-09-02T16:47:11Z,products_otc,24,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:47:11Z,2026-09-02T16:47:11Z,products_prescription,111,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:47:11Z,2026-09-02T16:47:11Z,products_tentative,1,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:57:20Z,2026-09-02T16:57:20Z,products_discontinued,401,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:57:20Z,2026-09-02T16:57:20Z,products_ever,536,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:57:20Z,2026-09-02T16:57:20Z,products_marketed,135,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
fda.drugsfda.cohort-status,molecule:acetaminophen,2026-09-02T16:57:20Z,2026-09-02T16:57:20Z,products_otc,24,count,fda.drugsfda.cohort-status,raw/fda.drugsfda.cohort-status/2026/09/20260902T164711Z-a0e0b2cd1453.json,1
