shortage_generic,active_ingredient,applications,products_discontinued,products_marketed
atropine-sulfate-injection,ATROPINE SULFATE,70,40,42
azacitidine-injection,AZACITIDINE,19,3,16
bacitracin-ophthalmic-ointment,BACITRACIN,38,35,4
bumetanide-injection,BUMETANIDE,26,4,48
bupivacaine-hydrochloride-injection,BUPIVACAINE HYDROCHLORIDE,48,25,60
carboplatin-injection,CARBOPLATIN,37,78,43
cefotaxime-sodium-powder-for-solution,CEFOTAXIME SODIUM,17,40,0
clindamycin-phosphate-injection,CLINDAMYCIN PHOSPHATE,117,46,72
clonazepam-tablet,CLONAZEPAM,19,24,48
conivaptan-hydrochloride-injection,CONIVAPTAN HYDROCHLORIDE,2,1,2
cromolyn-sodium-concentrate,CROMOLYN SODIUM,31,21,10
dexamethasone-sodium-phosphate-injection,DEXAMETHASONE SODIUM PHOSPHATE,63,49,19
dexmedetomidine-hydrochloride-injection,DEXMEDETOMIDINE HYDROCHLORIDE,35,6,58
dobutamine-hydrochloride-injection,DOBUTAMINE HYDROCHLORIDE,16,13,11
dopamine-hydrochloride-injection,DOPAMINE HYDROCHLORIDE,37,39,13
echothiophate-iodide-ophthalmic-solution,ECHOTHIOPHATE IODIDE,1,3,1
etomidate-injection,ETOMIDATE,12,4,8
fentanyl-citrate-injection,FENTANYL CITRATE,27,71,6
flurazepam-hydrochloride-capsule,FLURAZEPAM HYDROCHLORIDE,23,23,4
furosemide-injection,FUROSEMIDE,73,55,46
furosemide-oral-solution,FUROSEMIDE,73,55,46
heparin-sodium-injection,HEPARIN SODIUM,88,167,77
hydromorphone-hydrochloride-injection,HYDROMORPHONE HYDROCHLORIDE,30,26,50
hydroxocobalamin-injection,HYDROXOCOBALAMIN,6,5,2
ifosfamide-injection,IFOSFAMIDE,7,8,8
isocarboxazid-tablet,ISOCARBOXAZID,1,0,1
ketorolac-tromethamine-injection,KETOROLAC TROMETHAMINE,64,50,44
lidocaine-hydrochloride-injection,LIDOCAINE HYDROCHLORIDE,151,85,64
liraglutide-injection,LIRAGLUTIDE,14,0,14
lisdexamfetamine-dimesylate-capsule,LISDEXAMFETAMINE DIMESYLATE,25,0,161
lorazepam-injection,LORAZEPAM,73,73,42
meperidine-hydrochloride-injection,MEPERIDINE HYDROCHLORIDE,49,62,17
methotrexate-sodium-injection,METHOTREXATE SODIUM,61,51,40
methylphenidate-hydrochloride-tablet-extended-release,METHYLPHENIDATE HYDROCHLORIDE,86,84,172
methylprednisolone-acetate-injection,METHYLPREDNISOLONE ACETATE,25,18,24
metronidazole-injection,METRONIDAZOLE,97,58,62
midazolam-hydrochloride-injection,MIDAZOLAM HYDROCHLORIDE,40,32,31
morphine-sulfate-injection,MORPHINE SULFATE,77,146,80
penicillin-g-benzathine-injection,PENICILLIN G BENZATHINE,6,6,3
pentostatin-injection,PENTOSTATIN,3,1,2
promethazine-hydrochloride-injection,PROMETHAZINE HYDROCHLORIDE,128,88,50
propranolol-hydrochloride-injection,PROPRANOLOL HYDROCHLORIDE,150,109,38
quinapril-hydrochloride-tablet,QUINAPRIL HYDROCHLORIDE,21,55,22
remifentanil-hydrochloride-injection,REMIFENTANIL HYDROCHLORIDE,4,0,12
rifampin-capsule,RIFAMPIN,18,9,15
rifampin-injection,RIFAMPIN,18,9,15
riluzole-oral-suspension,RILUZOLE,12,6,6
rocuronium-bromide-injection,ROCURONIUM BROMIDE,24,10,36
ropivacaine-hydrochloride-injection,ROPIVACAINE HYDROCHLORIDE,17,12,68
sodium-acetate-injection,SODIUM ACETATE,55,71,50
sodium-bicarbonate-injection,SODIUM BICARBONATE,77,54,71
sterile-water-injection,STERILE WATER,25,7,33
streptozocin-powder-for-solution,STREPTOZOCIN,1,1,0
sufentanil-citrate-injection,SUFENTANIL CITRATE,5,3,2
technetium-tc-99m-pyrophosphate-kit-injection,TECHNETIUM TC 99M PYROPHOSPHATE,3,1,2
triamcinolone-hexacetonide-injection,TRIAMCINOLONE HEXACETONIDE,1,2,0
valproate-sodium-injection,VALPROATE SODIUM,5,2,3
